Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SJEI;SP0613;New England;São Paulo;SP;23 33 09S;046 39 42W;-23.5525;-46.6617;VFR;PRIV;2023-12-28Z
SDGG;SP0335;Aché Faria Lima;São Paulo;SP;23 33 39S;046 41 39W;-23.5608;-46.6942;VFR;PRIV;2018-07-19Z
SDOH;SP0395;Pedreira Pau Pedra;Guarulhos;SP;23 21 03S;046 25 33W;-23.3508;-46.4258;VFR;PRIV;2018-07-19Z
SIGZ;SP0498;Represa;São Paulo;SP;23 37 02S;046 41 56W;-23.6172;-46.6989;VFR;PRIV;2018-07-19Z
SIMD;SP0526;Resedá Office;São Paulo;SP; 23 34 57.51S; 046 40 29.36W;-23.5825;-46.6747;VFR;PRIV;2025-08-10Z
SDKD;SP0370;Condomínio América Business Park;São Paulo;SP; 23 37 07S; 046 42 11W;-23.6186;-46.7031;VFR;PRIV;2018-07-19Z
SD6R;SP1095;Parque da Cidade Torre B3;São Paulo;SP; 23 37 30S; 046 42 14W;-23.625;-46.7039;VFR;PRIV;2021-03-18Z
SDZT;SP0461;Pravda;Barueri;SP; 23 29 50S; 046 50 47W;-23.4972;-46.8464;VFR;PRIV;2018-11-22Z
SDGS;SP0339;Bertolucci;São Paulo;SP; 23 35 09.08S; 046 40 49.44W;-23.5858;-46.6803;VFR;PRIV;2024-01-04Z
SDHV;SP0349;Hospital Albert Einstein;São Paulo;SP;23 36 01S;046 42 55W;-23.6003;-46.7153;VFR;PRIV;2018-07-19Z
SWMF;SP0816;Higienópolis Medical Center;São Paulo;SP; 23 33 00S; 046 39 31W;-23.55;-46.6586;VFR;PRIV;2019-07-04Z
SJAO;SP0590;Natura;Cajamar;SP;23 24 15S;046 49 54W;-23.4042;-46.8317;VFR;PRIV;2018-07-19Z
SSVH;SP0786;Henri Dunant;São Paulo;SP;23 37 38S;046 41 55W;-23.6272;-46.6986;VFR;PRIV;2018-07-19Z
SDYZ;SP0455;Kuka;São Paulo;SP;23 34 09S;046 36 05W;-23.5692;-46.6014;VFR DIURNA;PRIV;2018-07-19Z
SDHG;SP0344;Málaga;Osasco;SP; 23 28 54S; 046 46 41W;-23.4817;-46.7781;VFR;PRIV;2018-07-19Z
SD2H;SP1090;Torre Jequitibá;São Paulo;SP; 23 37 31S; 046 42 21W;-23.6253;-46.7058;VFR;PRIV;2021-02-11Z
SIUD;SP0558;Monte Horebe;São Paulo;SP;23 32 19S;046 36 27W;-23.5386;-46.6075;VFR;PRIV;2018-07-19Z
SDJU;SP0367;Hospital São Luiz;São Paulo;SP; 23 35 26S; 046 40 23W;-23.5906;-46.6731;VFR;PRIV;2023-11-09Z
SJTY;SP0664;Tivoli Mofarrej;São Paulo;SP;23 33 51S;046 39 21W;-23.5642;-46.6558;VFR;PRIV;2018-07-19Z
